Key	Value
明确	Clear
全部清除	Clear all
全部切换	Toggle all
选择预设	Select preset
从 XML 重新加载预设	Reload preset from XML
按住 Ctrl 键并单击以取消选择其他选项	Ctrl+Click to deselect the other options
未找到灵石	No spirit stones found
点击使用灵石平衡交易。	Click to balance the trade using Spirit Stones
[color=#9e6404]\n\nShift+单击：x10\nCtrl+单击：x50[/color]	[color=#9e6404]\n\nShift+Click: x10\nCtrl+Click: x50[/color]
阴性造诣	Yin Attainment
阳性造诣	Yang Attainment
所选秘籍的总参悟	Total Attainment from selected manuals
习得秘籍后的阴阳平衡：黑色代表阴性增强，白色代表阳性增强。	Yin/Yang balance after learning manuals - Black means more Yin, white means more Yang	Yin/Yang balance after learning manuals - Black means more Yin, white means more Yang
降低参悟值的功法不计入计算	Manuals that reduce Attainment are not considered in the calculations
